Time,X,Y,Z
6.241089,-0.02618408,-0.006835938,-1.006104
6.24469,-0.02618408,-0.006835938,-1.006104
6.246909,-0.02618408,-0.006835938,-1.006104
6.249056,-0.02618408,-0.006835938,-1.006104
6.251271,-0.02618408,-0.006835938,-1.006104
6.253702,-0.02618408,-0.006835938,-1.006104
6.260019,-0.02618408,-0.006835938,-1.006104
6.262304,-0.02618408,-0.006835938,-1.006104
6.266701,-0.02618408,-0.006835938,-1.006104
6.269712,-0.02618408,-0.006835938,-1.006104
6.272167,-0.02618408,-0.006835938,-1.006104
6.274704,-0.02374268,-0.0078125,-0.9929199
6.278183,-0.02374268,-0.0078125,-0.9929199
6.282821,-0.02374268,-0.0078125,-0.9929199
6.285634,-0.02374268,-0.0078125,-0.9929199
6.288306,-0.02374268,-0.0078125,-0.9929199
6.29076,-0.02374268,-0.0078125,-0.9929199
6.29431,-0.02374268,-0.0078125,-0.9929199
6.302364,-0.02374268,-0.0078125,-0.9929199
6.305105,-0.02374268,-0.0078125,-0.9929199
6.307916,-0.02374268,-0.0078125,-0.9929199
6.310236,-0.02642822,-0.0078125,-1
6.313884,-0.02642822,-0.0078125,-1
6.317956,-0.02642822,-0.0078125,-1
6.320682,-0.02642822,-0.0078125,-1
6.32955,-0.02642822,-0.0078125,-1
6.334068,-0.02642822,-0.0078125,-1
6.34055,-0.02642822,-0.0078125,-1
6.344127,-0.02471924,-0.007080078,-1.000977
6.348468,-0.02471924,-0.007080078,-1.000977
6.350924,-0.02471924,-0.007080078,-1.000977
6.353422,-0.02471924,-0.007080078,-1.000977
6.355736,-0.02471924,-0.007080078,-1.000977
6.358141,-0.02471924,-0.007080078,-1.000977
6.360499,-0.02471924,-0.007080078,-1.000977
6.363982,-0.02471924,-0.007080078,-1.000977
6.37299,-0.02471924,-0.007080078,-1.000977
6.379821,-0.02520752,-0.007568359,-1.001709
6.382273,-0.02520752,-0.007568359,-1.001709
6.384428,-0.02520752,-0.007568359,-1.001709
6.386781,-0.02520752,-0.007568359,-1.001709
6.390348,-0.02520752,-0.007568359,-1.001709
6.39457,-0.02520752,-0.007568359,-1.001709
6.397285,-0.02520752,-0.007568359,-1.001709
6.39969,-0.02520752,-0.007568359,-1.001709
6.402101,-0.02520752,-0.007568359,-1.001709
6.404469,-0.02520752,-0.007568359,-1.001709
6.411889,-0.02520752,-0.007080078,-1.002197
6.417949,-0.02520752,-0.007080078,-1.002197
6.420287,-0.02520752,-0.007080078,-1.002197
6.422521,-0.02520752,-0.007080078,-1.002197
6.425983,-0.02520752,-0.007080078,-1.002197
6.430849,-0.02520752,-0.007080078,-1.002197
6.433362,-0.02520752,-0.007080078,-1.002197
6.435823,-0.02520752,-0.007080078,-1.002197
6.438273,-0.02520752,-0.007080078,-1.002197
6.44061,-0.02764893,-0.006835938,-1.001709
6.442881,-0.02764893,-0.006835938,-1.001709
6.446279,-0.02764893,-0.006835938,-1.001709
6.450707,-0.02764893,-0.006835938,-1.001709
6.45723,-0.02764893,-0.006835938,-1.001709
6.460718,-0.02764893,-0.006835938,-1.001709
6.466005,-0.02764893,-0.006835938,-1.001709
6.468286,-0.02764893,-0.006835938,-1.001709
6.470479,-0.02764893,-0.006835938,-1.001709
6.4727,-0.02764893,-0.006835938,-1.001709
6.474896,-0.02764893,-0.0078125,-1.001221
6.477062,-0.02764893,-0.0078125,-1.001221
6.479157,-0.02764893,-0.0078125,-1.001221
6.481351,-0.02764893,-0.0078125,-1.001221
6.483529,-0.02764893,-0.0078125,-1.001221
6.485688,-0.02764893,-0.0078125,-1.001221
6.48781,-0.02764893,-0.0078125,-1.001221
6.489985,-0.02764893,-0.0078125,-1.001221
6.49602,-0.02764893,-0.0078125,-1.001221
6.498098,-0.02764893,-0.0078125,-1.001221
6.500268,-0.02764893,-0.0078125,-1.001221
6.502513,-0.02764893,-0.0078125,-1.001221
6.50466,-0.02764893,-0.0078125,-1.001221
6.506786,-0.02764893,-0.0078125,-1.001221
6.509061,-0.02423096,-0.0078125,-1.001221
6.511225,-0.02423096,-0.0078125,-1.001221
6.513454,-0.02423096,-0.0078125,-1.001221
6.515696,-0.02423096,-0.0078125,-1.001221
6.517815,-0.02423096,-0.0078125,-1.001221
6.520033,-0.02423096,-0.0078125,-1.001221
6.522258,-0.02423096,-0.0078125,-1.001221
6.524627,-0.02423096,-0.0078125,-1.001221
6.526748,-0.02423096,-0.0078125,-1.001221
6.52888,-0.02423096,-0.0078125,-1.001221
6.534816,-0.02423096,-0.0078125,-1.001221
6.536972,-0.02423096,-0.0078125,-1.001221
6.539102,-0.02423096,-0.0078125,-1.001221
6.541255,-0.02423096,-0.007080078,-1.002197
6.543548,-0.02423096,-0.007080078,-1.002197
6.545755,-0.02423096,-0.007080078,-1.002197
6.547956,-0.02423096,-0.007080078,-1.002197
6.550079,-0.02423096,-0.007080078,-1.002197
6.552235,-0.02423096,-0.007080078,-1.002197
6.554355,-0.02423096,-0.007080078,-1.002197
6.556504,-0.02423096,-0.007080078,-1.002197
6.558755,-0.02423096,-0.007080078,-1.002197
6.560857,-0.02423096,-0.007080078,-1.002197
6.563118,-0.02423096,-0.007080078,-1.002197
6.565218,-0.02423096,-0.007080078,-1.002197
6.569221,-0.02423096,-0.007080078,-1.002197
6.575237,-0.02471924,-0.007324218,-1.001709
6.577421,-0.02471924,-0.007324218,-1.001709
6.579629,-0.02471924,-0.007324218,-1.001709
6.581922,-0.02471924,-0.007324218,-1.001709
6.584067,-0.02471924,-0.007324218,-1.001709
6.586209,-0.02471924,-0.007324218,-1.001709
6.588321,-0.02471924,-0.007324218,-1.001709
6.590507,-0.02471924,-0.007324218,-1.001709
6.592699,-0.02471924,-0.007324218,-1.001709
6.594773,-0.02471924,-0.007324218,-1.001709
6.597056,-0.02471924,-0.007324218,-1.001709
6.599358,-0.02471924,-0.007324218,-1.001709
6.601509,-0.02471924,-0.007324218,-1.001709
6.603684,-0.02471924,-0.007324218,-1.001709
6.605912,-0.02471924,-0.007324218,-1.001709
6.608142,-0.02471924,-0.007324218,-1.001709
6.614175,-0.02593994,-0.007568359,-1.001221
6.616336,-0.02593994,-0.007568359,-1.001221
6.618398,-0.02593994,-0.007568359,-1.001221
6.620529,-0.02593994,-0.007568359,-1.001221
6.622671,-0.02593994,-0.007568359,-1.001221
6.624948,-0.02593994,-0.007568359,-1.001221
6.627155,-0.02593994,-0.007568359,-1.001221
6.629389,-0.02593994,-0.007568359,-1.001221
6.63153,-0.02593994,-0.007568359,-1.001221
6.633787,-0.02593994,-0.007568359,-1.001221
6.636008,-0.02593994,-0.007568359,-1.001221
6.638077,-0.02593994,-0.007568359,-1.001221
6.640357,-0.02593994,-0.007568359,-1.001221
6.642638,-0.02593994,-0.007568359,-1.001221
6.644929,-0.02593994,-0.007568359,-1.001221
6.647085,-0.02593994,-0.007568359,-1.001221
6.652991,-0.02593994,-0.007568359,-1.001709
6.655144,-0.02593994,-0.007568359,-1.001709
6.657367,-0.02593994,-0.007568359,-1.001709
6.65959,-0.02593994,-0.007568359,-1.001709
6.661691,-0.02593994,-0.007568359,-1.001709
6.663983,-0.02593994,-0.007568359,-1.001709
6.666173,-0.02593994,-0.007568359,-1.001709
6.668386,-0.02593994,-0.007568359,-1.001709
6.670631,-0.02593994,-0.007568359,-1.001709
6.672805,-0.02593994,-0.007568359,-1.001709
6.675242,-0.02520752,-0.008056641,-1.002197
6.677477,-0.02520752,-0.008056641,-1.002197
6.67966,-0.02520752,-0.008056641,-1.002197
6.681783,-0.02520752,-0.008056641,-1.002197
6.68398,-0.02520752,-0.008056641,-1.002197
6.686061,-0.02520752,-0.008056641,-1.002197
6.692134,-0.02520752,-0.008056641,-1.002197
6.694262,-0.02520752,-0.008056641,-1.002197
6.696392,-0.02520752,-0.008056641,-1.002197
6.698505,-0.02520752,-0.008056641,-1.002197
6.700714,-0.02520752,-0.008056641,-1.002197
6.702918,-0.02520752,-0.008056641,-1.002197
6.70498,-0.02520752,-0.008056641,-1.002197
6.707288,-0.02496338,-0.0078125,-1.002197
